ID﻿,year,country,country frequency
0,2000,Australia,13
1,2000,Belgium,3
2,2000,France,15
0,2001,Denmark,1
1,2001,Finland,3
2,2001,Germany,1
3,2001,Malawi,22
4,2001,Spain,1
5,2001,United Kingdom,1
6,2001,United States of America,1
0,2002,Belgium,16
1,2002,Canada,2
2,2002,Croatia,1
3,2002,Finland,1
4,2002,Germany,5
5,2002,Greece,2
6,2002,India,2
7,2002,Ireland,1
8,2002,Israel,2
9,2002,South Korea,1
10,2002,United Kingdom,1
11,2002,United States of America,2
0,2003,Canada,7
1,2003,Cuba,4
2,2003,France,2
3,2003,Hungary,2
4,2003,Republic of the Congo,8
5,2003,United Kingdom,1
6,2003,United States of America,2
0,2004,Belgium,3
1,2004,Finland,3
2,2004,Germany,5
3,2004,Greenland,1
4,2004,Schweiz,1
5,2004,Spain,1
6,2004,United Kingdom,2
7,2004,United States of America,5
0,2005,Austria,2
1,2005,Belgium,29
2,2005,India,2
3,2005,Indonesia,1
4,2005,Japan,7
5,2005,New Zealand,1
6,2005,Schweiz,1
7,2005,Spain,16
8,2005,Taiwan,1
9,2005,United Kingdom,15
10,2005,United States of America,27
0,2006,Belgium,3
1,2006,China,3
2,2006,Denmark,4
3,2006,Finland,12
4,2006,France,1
5,2006,Germany,3
6,2006,Ireland,1
7,2006,Israel,1
8,2006,Italy,5
9,2006,Japan,6
10,2006,Malawi,18
11,2006,South Korea,2
12,2006,Tunisia,1
13,2006,United States of America,5
0,2007,Australia,1
1,2007,Belgium,4
2,2007,Brazil,2
3,2007,France,3
4,2007,Hungary,2
5,2007,India,3
6,2007,Japan,13
7,2007,Palau,7
8,2007,Schweiz,1
9,2007,Spain,9
10,2007,Thailand,51
11,2007,United Kingdom,3
12,2007,United States of America,19
0,2008,Australia,1
1,2008,China,16
2,2008,Colombia,2
3,2008,Denmark,3
4,2008,Finland,1
5,2008,France,12
6,2008,Germany,5
7,2008,Greece,6
8,2008,Hungary,1
9,2008,Italy,1
10,2008,Japan,27
11,2008,Kuwait,8
12,2008,New Zealand,2
13,2008,Philippines,1
14,2008,Russia,1
15,2008,Schweiz,2
16,2008,South Africa,1
17,2008,South Korea,1
18,2008,Spain,9
19,2008,Thailand,3
20,2008,Uganda,8
21,2008,United Kingdom,25
22,2008,United States of America,5
0,2009,Austria,1
1,2009,Brazil,16
2,2009,China,27
3,2009,Costa Rica,2
4,2009,Finland,2
5,2009,France,10
6,2009,Germany,11
7,2009,Greece,1
8,2009,Hungary,2
9,2009,India,28
10,2009,Italy,26
11,2009,Japan,7
12,2009,Malaysia,20
13,2009,Netherlands,4
14,2009,Norway,1
15,2009,Portugal,4
16,2009,Russia,3
17,2009,Saudi Arabia,1
18,2009,Singapore,1
19,2009,South Korea,8
20,2009,Spain,7
21,2009,Taiwan,1
22,2009,Tanzania,2
23,2009,United Kingdom,17
24,2009,United States of America,30
25,2009,Zambia,1
0,2010,Argentina,2
1,2010,Australia,12
2,2010,Brazil,22
3,2010,Canada,2
4,2010,China,15
5,2010,France,9
6,2010,Germany,2
7,2010,Greece,2
8,2010,Hungary,11
9,2010,India,10
10,2010,Italy,5
11,2010,Jamaica,1
12,2010,Japan,6
13,2010,Malaysia,1
14,2010,Netherlands,4
15,2010,Norway,7
16,2010,Russia,2
17,2010,Schweiz,1
18,2010,South Korea,2
19,2010,Spain,25
20,2010,Sweden,1
21,2010,Taiwan,1
22,2010,United Kingdom,1
23,2010,United States of America,14
24,2010,Uruguay,1
0,2011,Antarctica,1
1,2011,Belgium,3
2,2011,Brazil,7
3,2011,Cambodia,5
4,2011,Canada,10
5,2011,China,78
6,2011,Colombia,4
7,2011,Estonia,1
8,2011,France,4
9,2011,Germany,1
10,2011,Hungary,3
11,2011,Iceland,2
12,2011,India,8
13,2011,Indonesia,1
14,2011,Iran,26
15,2011,Israel,2
16,2011,Italy,2
17,2011,Japan,23
18,2011,Kuwait,6
19,2011,Malaysia,1
20,2011,Mexico,16
21,2011,Norway,7
22,2011,Philippines,1
23,2011,Poland,1
24,2011,Singapore,5
25,2011,South Korea,4
26,2011,Spain,3
27,2011,Sri Lanka,1
28,2011,Sweden,1
29,2011,United Kingdom,7
30,2011,United States of America,72
31,2011,Uruguay,3
0,2012,Antarctica,4
1,2012,Bahamas,1
2,2012,Bahrain,1
3,2012,Brazil,89
4,2012,China,41
5,2012,Denmark,2
6,2012,Finland,3
7,2012,France,3
8,2012,Ghana,14
9,2012,India,37
10,2012,Indonesia,1
11,2012,Iran,4
12,2012,Ireland,3
13,2012,Italy,2
14,2012,Japan,8
15,2012,Kuwait,4
16,2012,Malaysia,6
17,2012,Netherlands,1
18,2012,New Zealand,1
19,2012,Niger,58
20,2012,Philippines,2
21,2012,Poland,1
22,2012,Saudi Arabia,1
23,2012,Schweiz,9
24,2012,Singapore,1
25,2012,Slovenia,2
26,2012,South Africa,26
27,2012,South Korea,4
28,2012,Spain,2
29,2012,Taiwan,1
30,2012,Thailand,7
31,2012,Tunisia,4
32,2012,United States of America,94
0,2013,Algeria,1
1,2013,Antarctica,1
2,2013,Argentina,2
3,2013,Australia,1
4,2013,Belgium,2
5,2013,Brazil,29
6,2013,Canada,44
7,2013,Chile,3
8,2013,China,68
9,2013,Czechia,54
10,2013,Ecuador,1
11,2013,Egypt,10
12,2013,Estonia,1
13,2013,Finland,1
14,2013,France,5
15,2013,Germany,16
16,2013,Iceland,1
17,2013,India,26
18,2013,Iran,2
19,2013,Italy,5
20,2013,Japan,45
21,2013,Kuwait,1
22,2013,Madagascar,1
23,2013,Malaysia,5
24,2013,Mexico,4
25,2013,Netherlands,63
26,2013,Pakistan,4
27,2013,Portugal,2
28,2013,Schweiz,39
29,2013,Slovakia,1
30,2013,South Africa,2
31,2013,South Korea,17
32,2013,Spain,2
33,2013,Sweden,7
34,2013,Thailand,11
35,2013,Tunisia,85
36,2013,Turkey,2
37,2013,United Kingdom,4
38,2013,United States of America,77
39,2013,Vietnam,1
0,2014,Argentina,2
1,2014,Bangladesh,1
2,2014,Belgium,2
3,2014,Brazil,4
4,2014,Canada,97
5,2014,Chile,1
6,2014,China,68
7,2014,Cuba,1
8,2014,Denmark,2
9,2014,France,5
10,2014,Germany,4
11,2014,Greece,3
12,2014,Greenland,1
13,2014,Guinea-Bissau,8
14,2014,Hungary,1
15,2014,India,61
16,2014,Indonesia,12
17,2014,Iran,9
18,2014,Ireland,2
19,2014,Israel,1
20,2014,Japan,187
21,2014,Malaysia,1
22,2014,Mexico,3
23,2014,Netherlands,4
24,2014,Norway,1
25,2014,Poland,8
26,2014,Portugal,2
27,2014,Puerto Rico,1
28,2014,Saudi Arabia,2
29,2014,Schweiz,3
30,2014,South Africa,1
31,2014,South Korea,45
32,2014,Spain,4
33,2014,Taiwan,6
34,2014,Tanzania,3
35,2014,Thailand,1
36,2014,Tunisia,1
37,2014,Turkey,1
