Country,Frequency
Afghanistan,8
Algeria,11
Antarctica,11
Argentina,21
Australia,48
Austria,344
Bahamas,2
Bahrain,1
Bangladesh,33
Belarus,1
Belgium,76
Benin,2
Brazil,495
Bulgaria,5
Burkina Faso,6
Cambodia,5
Cameroon,1
Canada,189
Chile,19
China,1470
Colombia,27
Costa Rica,7
Cote d'Ivoire,1
Croatia,97
Cuba,5
Czechia,56
Denmark,35
Ecuador,11
Egypt,43
Eritrea,1
Estonia,4
Finland,27
France,130
Gambia,268
Germany,128
Ghana,16
Greece,18
Greenland,2
Guatemala,1
Guinea-Bissau,8
Hungary,45
Iceland,21
India,848
Indonesia,32
Iran,504
Iraq,173
Ireland,7
Israel,22
Italy,167
Jamaica,1
Japan,1241
Kenya,3
Kuwait,33
Lithuania,1
Madagascar,30
Malawi,40
Malaysia,69
Mexico,182
Mongolia,1
Namibia,18
Netherlands,89
New Zealand,15
Niger,60
Nigeria,142
No especificado,32977
Norway,19
Oman,3
Pakistan,83
Palau,7
Panama,2
Peru,21
Philippines,34
Poland,104
Portugal,62
Puerto Rico,6
Republic of the Congo,8
Romania,2
Russia,63
Saudi Arabia,46
Schweiz,58
Serbia,8
Singapore,18
Slovakia,29
Slovenia,33
South Africa,47
South Korea,1188
Spain,336
Sri Lanka,30
Sudan,60
Sweden,23
Taiwan,28
Tanzania,20
Thailand,164
Trinidad and Tobago,2
Tunisia,114
Turkey,98
Uganda,8
Ukraine,75
United Arab Emirates,18
United Kingdom,111
United States of America,1215
Uruguay,6
Venezuela,25
Vietnam,62
Zambia,7
